order_id,order_date,product_name,quantity,unit_price,status
1001,2024-01-15,Widget A,2,29.99,completed
1002,2024-01-15,Widget B,1,49.99,completed
1003,2024-01-16,Widget A,3,29.99,cancelled
1004,2024-01-16,Gadget X,1,99.99,completed
1005,2024-01-17,Widget B,2,49.99,completed
1006,2024-01-17,Gadget Y,1,149.99,pending
1007,2024-01-18,Widget A,5,29.99,completed
1008,2024-01-18,Gadget X,2,99.99,complete
1009,2024-01-19,Widget B,1,49.99,canceled
1010,2024-01-19,Gadget Y,3,149.99,completed
1011,2024-01-20,Widget A,2,29.99,completed
1012,2024-01-20,Gadget X,1,99.99,completed
